product_id,product_name,Manufacturer,Product_group_name,Product_group_code,Товарная группа 2,model_name,current_stock
48,Пневматическая сеялка John Deere N500F ,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-N500F ,2
49,Пневматическая сеялка John Deere 1910,John Deere,Прицепное оборудование,TL,Пневматическая сеялка,TL-1910,0
50,Зерновые сеялки John Deere 455,John Deere,Прицепное оборудование,TL,Зерновые сеялки,TL-455,3
51,Зерновые сеялки John Deere 1590,John Deere,Прицепное оборудование,TL,Зерновые сеялки,TL-1590,2
52,Сеялки точного высева John Deere 1705,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1705,3
53,Сеялки точного высева John Deere 1715,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1715,1
54,Сеялки точного высева John Deere 1745,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1745,0
55,Сеялки точного высева John Deere 1755,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1755,1
56,Сеялки точного высева John Deere 1775,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1775,0
57,Сеялки точного высева John Deere 1775NT,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1775NT,2
58,Сеялки точного высева John Deere 1795,John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-1795,0
59,Сеялки точного высева John Deere DB37 (междурядье 45/70),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB37 (междурядье 45/70),1
60,Сеялки точного высева John Deere DB37 (междурядье 70),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB37 (междурядье 70),0
61,Сеялки точного высева John Deere DB55 (междурядье 70),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB55 (междурядье 70),1
62,Сеялки точного высева John Deere DB74 (междурядье 70),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB74 (междурядье 70),3
63,Сеялки точного высева John Deere DB83 (междурядье 70 см),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB83 (междурядье 70 см),2
64,Сеялки точного высева John Deere DB55 (междурядье 45/70),John Deere,Прицепное оборудование,TL,Сеялки точного высева,TL-DB55 (междурядье 45/70),1
65,Почвообрабатывающая техника John Deere 2100,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2100,2
66,Почвообрабатывающая техника John Deere 913,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-913,1
67,Почвообрабатывающая техника John Deere 915,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-915,3
68,Почвообрабатывающая техника John Deere 2430,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2430,0
69,Почвообрабатывающая техника John Deere 2635,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2635,3
70,Почвообрабатывающая техника John Deere 2720,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2720,0
71,Почвообрабатывающая техника John Deere 2730,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2730,2
72,Почвообрабатывающая техника John Deere 2210,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2210,1
73,Почвообрабатывающая техника John Deere 2230LL,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2230LL,1
74,Почвообрабатывающая техника John Deere 2230FH,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2230FH,2
75,Почвообрабатывающая техника John Deere 2330,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2330,1
76,Почвообрабатывающая техника John Deere 200,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-200,2
77,Почвообрабатывающая техника John Deere 2633,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2633,1
78,Почвообрабатывающая техника John Deere 2633VT,John Deere,Прицепное оборудование,TL,Почвообрабатывающая техника,TL-2633VT,0
79,Разбрасыватель удобрений John Deere DN218,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN218,2
80,Разбрасыватель удобрений John Deere DN224,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN224,0
81,Разбрасыватель удобрений John Deere DN236,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN236,1
82,Разбрасыватель удобрений John Deere DN350,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN350,3
83,Разбрасыватель удобрений John Deere DN456,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN456,3
84,Разбрасыватель удобрений John Deere DN485,John Deere,Прицепное оборудование,TL,Разбрасыватель удобрений,TL-DN485,2
85,Самоходная косилка John Deere W150,John Deere,Прицепное оборудование,TL,Самоходная косилка,TL-W150,1
86,Самоходная косилка John Deere W235,John Deere,Прицепное оборудование,TL,Самоходная косилка,TL-W235,3
87,Самоходная косилка John Deere W260,John Deere,Прицепное оборудование,TL,Самоходная косилка,TL-W260,3
88,ГУСЕНИЧНЫЙ МИНИ-ПОГРУЗЧИК JCB 300T,JCB,Тракторы,TR,ГУСЕНИЧНЫЙ МИНИ-ПОГРУЗЧИК,TR-300T,2
89,Трактор JCB Fastrac 8290,JCB,Тракторы,TR,Трактор,TR-Fastrac 8290,2
90,Трактор JCB Fastrac 8330,JCB,Тракторы,TR,Трактор,TR-Fastrac 8330,3
91,погрузчик JCB JCB 155,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 155,1
92,погрузчик JCB JCB 541-70,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 541-70,1
93,погрузчик JCB JCB 535-95,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 535-95,1
94,погрузчик JCB JCB 526-56 AGRI,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 526-56 AGRI,2
95,погрузчик JCB JCB 527-58 AGRI,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 527-58 AGRI,2
